,Title,Date,Month,Episode,id,painting_index,img_src,youtube_src,num_colors,colors,subject,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,Aurora_Borealis,Barn,Beach,Boat,Bridge,Building,Bushes,Cabin,Cactus,Cirrus,Cliff,Clouds,Conifer,Cumulus,Deciduous,Diane_Andre,Dock,Farm,Fence,Fire,Flowers,Fog,Grass,Guest,Hills,Lake,Lakes,Lighthouse,Mill,Moon,Mountain,Mountains,Night,Ocean,Palm_Trees,Path,Person,Portrait,River,Rocks,Snow,Snowy_Mountain,Steve_Ross,Structure,Sun,Tree,Trees,Waterfall,Waves,Windmill,Winter
10,Meadow Lake,1983-08-31,August,S02E01,14,269,https://www.twoinchbrush.com/images/painting269.png,https://www.youtube.com/embed/GARWowi0QXI,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Conifer, Cumulus, Deciduous, Grass, Lake, Mountain, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
11,Winter Sun,1983-09-07,September,S02E02,15,270,https://www.twoinchbrush.com/images/painting270.png,https://www.youtube.com/embed/VPfYRj4DDco,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Conifer, Lake, Snow, Sun, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
12,Ebony Sea,1983-09-14,September,S02E03,16,271,https://www.twoinchbrush.com/images/painting271.png,https://www.youtube.com/embed/aOJsKNzO3i8,13,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Clouds, Cumulus, Deciduous, Ocean, Sun, Tree, Trees, Waves","#4E1500, #000000, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
13,Autumn Splendor,1983-09-28,September,S02E05,18,273,https://www.twoinchbrush.com/images/painting273.png,https://www.youtube.com/embed/rTTWw5Gd79I,11,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Deciduous, Grass, Lake, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
14,Black River,1983-10-05,October,S02E06,19,274,https://www.twoinchbrush.com/images/painting274.png,https://www.youtube.com/embed/6O4sfJd8G_M,11,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Cumulus, Deciduous, Grass, River, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
15,Brown Mountain,1983-10-12,October,S02E07,20,275,https://www.twoinchbrush.com/images/painting275.png,https://www.youtube.com/embed/Vx6v47gHBWM,11,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Clouds, Conifer, Cumulus, Grass, Lake, Mountain, Mountains, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,Reflections,1983-10-19,October,S02E08,21,276,https://www.twoinchbrush.com/images/painting276.png,https://www.youtube.com/embed/0FYfo94qefg,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Cirrus, Clouds, Conifer, Lake, Mountain, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
17,Lazy River,1983-11-02,November,S02E10,23,278,https://www.twoinchbrush.com/images/painting278.png,https://www.youtube.com/embed/BW2wKKFvH1g,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Deciduous, Grass, River, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
18,Black Waterfall,1983-11-09,November,S02E11,24,279,https://www.twoinchbrush.com/images/painting279.png,https://www.youtube.com/embed/GzSqjyQUPZQ,12,"Alizarin Crimson, Black Gesso, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Conifer, Cumulus, Deciduous, Grass, River, Rocks, Tree, Trees, Waterfall","#4E1500, #000000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
19,Mountain Waterfall,1983-11-16,November,S02E12,25,280,https://www.twoinchbrush.com/images/painting280.png,https://www.youtube.com/embed/9jIt95PCFAA,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Deciduous, Grass, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees, Waterfall","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
20,Final Grace,1983-11-23,November,S02E13,26,281,https://www.twoinchbrush.com/images/painting281.png,https://www.youtube.com/embed/miJ19Kz_i3Y,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Conifer, Cumulus, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
21,Mountain Retreat,1984-01-04,January,S03E01,27,256,https://www.twoinchbrush.com/images/painting256.png,https://www.youtube.com/embed/hoimk4s8JoQ,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Cabin, Conifer, Deciduous, Lake, Mountain, Mountains, Structure, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
22,Blue Moon,1984-01-11,January,S03E02,28,257,https://www.twoinchbrush.com/images/painting257.png,https://www.youtube.com/embed/loit61vLUMc,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Clouds, Cumulus, Moon, Night, Ocean, Palm_Trees, Tree, Trees, Waves","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
23,Bubbling Stream,1984-01-18,January,S03E03,29,258,https://www.twoinchbrush.com/images/painting258.png,https://www.youtube.com/embed/fuFalEXVN0k,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Deciduous, Grass, River, Rocks, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
24,Winter Night,1984-01-25,January,S03E04,30,259,https://www.twoinchbrush.com/images/painting259.png,https://www.youtube.com/embed/8ysFkNYwhAE,7,"Alizarin Crimson, Bright Red, Cadmium Yellow, Liquid Black, Phthalo Green, Titanium White, Van Dyke Brown","Cabin, Conifer, Snow, Structure, Tree, Trees, Winter","#4E1500, #DB0000, #FFEC00, #000000, #102E3C, #FFFFFF, #221B15",0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1
25,Distant Hills,1984-02-01,February,S03E05,31,260,https://www.twoinchbrush.com/images/painting260.png,https://www.youtube.com/embed/8Zge88tVwjE,7,"Alizarin Crimson, Burnt Umber, Cadmium Yellow, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Cirrus, Clouds, Conifer, Deciduous, Hills, Lake, Mountain, Mountains, Tree, Trees","#4E1500, #8A3324, #FFEC00, #0A3410, #FFFFFF, #221B15, #C79B00",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
26,Covered Bridge,1984-02-08,February,S03E06,32,261,https://www.twoinchbrush.com/images/painting261.png,https://www.youtube.com/embed/OHSm8kLE7js,10,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bridge, Deciduous, Path, Structure, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #000000, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
27,Quiet Inlet,1984-02-15,February,S03E07,33,262,https://www.twoinchbrush.com/images/painting262.png,https://www.youtube.com/embed/9N5IWKzYIyU,10,"Alizarin Crimson, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Deciduous, Lake, Mountain, Mountains, Tree, Trees","#4E1500, #8A3324, #FFEC00, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
28,Night Light,1984-02-22,February,S03E08,34,263,https://www.twoinchbrush.com/images/painting263.png,https://www.youtube.com/embed/l141Y0x8om0,9,"Alizarin Crimson, Black Gesso, Burnt Umber, Cadmium Yellow, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Cliff, Clouds, Cumulus, Lighthouse, Night, Ocean, Structure, Waves","#4E1500, #000000, #8A3324, #FFEC00, #102E3C, #0A3410, #FFFFFF, #221B15, #C79B00",1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
29,The Old Mill,1984-03-01,March,S03E09,35,264,https://www.twoinchbrush.com/images/painting264.png,https://www.youtube.com/embed/OFKFUJ9eDNs,10,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Cabin, Clouds, Cumulus, Deciduous, Mill, River, Structure, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
30,Campfire,1984-03-08,March,S03E10,36,265,https://www.twoinchbrush.com/images/painting265.png,https://www.youtube.com/embed/L5bXkI0-pEg,8,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Van Dyke Brown, Yellow Ochre","Bushes, Deciduous, Fire, Lake, Person, Tree, Trees","#4E1500, #000000, #DB0000, #8A3324, #FFEC00, #FFB800, #221B15, #C79B00",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
31,Rustic Barn,1984-03-15,March,S03E11,37,266,https://www.twoinchbrush.com/images/painting266.png,https://www.youtube.com/embed/WJJwrnFhUUg,12,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Barn, Deciduous, Fence, Lake, Structure, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #FFB800, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
32,Hidden Lake,1984-03-22,March,S03E12,38,267,https://www.twoinchbrush.com/images/painting267.png,https://www.youtube.com/embed/P_DaqkFbnac,10,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Conifer, Deciduous, Lake, Mountain, Mountains, Tree, Trees","#4E1500, #DB0000, #8A3324, #FFEC00, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
